id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
153,15.05.2022,nkumwa,testfirst,control,4,1,left,yes,two,
154,15.05.2022,nkumwa,testfirst,control,4,2,left,yes,two,
155,15.05.2022,nkumwa,testfirst,control,4,3,left,yes,two,
156,15.05.2022,nkumwa,testfirst,control,4,4,left,yes,two,
157,15.05.2022,nkumwa,testfirst,control,4,5,left,yes,two,
158,15.05.2022,nkumwa,testfirst,control,4,6,left,yes,two,
159,15.05.2022,nkumwa,testfirst,control,4,7,left,yes,one,
160,15.05.2022,nkumwa,testfirst,control,4,8,left,yes,two,
161,13.05.2022,bwambale,testfirst,test,1,1,right,yes,one,
162,13.05.2022,bwambale,testfirst,test,1,2,left,yes,two,
163,13.05.2022,bwambale,testfirst,test,1,3,left,yes,two,
164,13.05.2022,bwambale,testfirst,test,1,4,left,no,one,
165,13.05.2022,bwambale,testfirst,test,1,5,right,yes,one,
166,13.05.2022,bwambale,testfirst,test,1,6,right,yes,two,
167,13.05.2022,bwambale,testfirst,test,1,7,right,yes,one,
168,13.05.2022,bwambale,testfirst,test,1,8,left,yes,two,
169,14.05.2022,bwambale,testfirst,test,2,1,left,yes,one,
170,14.05.2022,bwambale,testfirst,test,2,2,right,no,one,
171,14.05.2022,bwambale,testfirst,test,2,3,right,no,one,
172,14.05.2022,bwambale,testfirst,test,2,4,left,no,one,
173,14.05.2022,bwambale,testfirst,test,2,5,left,no,one,
174,14.05.2022,bwambale,testfirst,test,2,6,right,yes,one,
175,14.05.2022,bwambale,testfirst,test,2,7,right,yes,two,
176,14.05.2022,bwambale,testfirst,test,2,8,right,no,one,
177,15.05.2022,bwambale,testfirst,control,3,1,right,no,one,
178,15.05.2022,bwambale,testfirst,control,3,2,right,yes,one,
179,15.05.2022,bwambale,testfirst,control,3,3,right,yes,one,
180,15.05.2022,bwambale,testfirst,control,3,4,right,yes,one,
181,15.05.2022,bwambale,testfirst,control,3,5,right,yes,two,
182,15.05.2022,bwambale,testfirst,control,3,6,right,yes,one,
183,15.05.2022,bwambale,testfirst,control,3,7,right,yes,two,
184,15.05.2022,bwambale,testfirst,control,3,8,right,yes,two,
185,16.05.2022,bwambale,testfirst,control,4,1,left,yes,one,
186,16.05.2022,bwambale,testfirst,control,4,2,left,yes,one,
187,16.05.2022,bwambale,testfirst,control,4,3,left,yes,one,
188,16.05.2022,bwambale,testfirst,control,4,4,left,yes,two,
189,16.05.2022,bwambale,testfirst,control,4,5,left,yes,two,
190,16.05.2022,bwambale,testfirst,control,4,6,left,yes,one,
191,16.05.2022,bwambale,testfirst,control,4,7,left,yes,one,
192,16.05.2022,bwambale,testfirst,control,4,8,left,yes,one,
193,13.05.2022,pasa,controlfirst,control,1,1,right,yes,one,
194,13.05.2022,pasa,controlfirst,control,1,2,right,yes,one,
195,13.05.2022,pasa,controlfirst,control,1,3,right,yes,one,
196,13.05.2022,pasa,controlfirst,control,1,4,right,yes,one,
197,13.05.2022,pasa,controlfirst,control,1,5,right,no,one,
198,13.05.2022,pasa,controlfirst,control,1,6,right,yes,one,
199,13.05.2022,pasa,controlfirst,control,1,7,right,yes,one,
200,13.05.2022,pasa,controlfirst,control,1,8,right,yes,one,
201,14.05.2022,pasa,controlfirst,control,2,1,left,no,one,
202,14.05.2022,pasa,controlfirst,control,2,2,left,yes,two,
203,14.05.2022,pasa,controlfirst,control,2,3,left,yes,two,
204,14.05.2022,pasa,controlfirst,control,2,4,left,no,one,
205,14.05.2022,pasa,controlfirst,control,2,5,left,yes,two,
